,event_type,id,index,period,timestamp,minute,second,possession,possession_team,play_pattern,off_camera,team,player,position,duration,under_pressure,statsbomb_xg,key_pass_id,body_part,type,outcome,technique,first_time,follows_dribble,redirect,one_on_one,open_goal,deflected,start_location_x,start_location_y,end_location_x,end_location_y,end_location_z
18,shot,ad0ddfc4-51c3-40fb-84f8-36fc6b2fbb30,1923,2,00:04:57.187,49,57,131,Tunisia,Regular Play,,Tunisia,Anice Badri,Left Wing,0.773,,0.03409846,de2b8bba-7185-47a4-a2c5-e1b328522832,Left Foot,Open Play,Saved,Normal,,,,,,,99.0,24.0,117.0,37.6,0.0
19,shot,c18125c5-4d49-4944-9b8e-1bcee2ed37ac,1963,2,00:05:36.147,50,36,135,Belgium,Regular Play,,Belgium,Eden Hazard,Left Wing,0.853,,0.78923815,ab0962ec-9b0a-46e0-9e7a-bd8bce2e56ec,Left Foot,Open Play,Goal,Normal,,,,,,,109.0,38.0,120.0,37.6,1.3
20,shot,cbe99d5a-f3cb-481b-915c-17491f140644,2063,2,00:08:26.987,53,26,141,Tunisia,From Throw In,,Tunisia,Fakhreddine Ben Youssef,Right Wing,2.813,True,0.13028686,2bfaf0c7-c42e-4c70-a1be-da61f37daecc,Head,Open Play,Wayward,Normal,,,,,,,112.0,37.0,118.0,22.0,
21,shot,5400c081-167a-4eaa-ab67-ae4d48452217,2113,2,00:10:24.627,55,24,147,Tunisia,Regular Play,,Tunisia,Ferjani Sassi,Right Center Midfield,1.6,True,0.022455232,a28be34e-d664-4787-ac70-d5fff43f8c59,Right Foot,Open Play,Off T,Normal,,,,,,,94.0,55.0,120.0,34.2,1.2
22,shot,456d1838-be59-433b-a511-7cfc4881579a,2287,2,00:15:32.147,60,32,154,Tunisia,From Free Kick,,Tunisia,Anice Badri,Left Wing,1.973,,0.117948756,7c3738ab-9621-4178-863b-86a4c1e1022e,Right Foot,Open Play,Wayward,Normal,True,,,,,,109.0,42.0,109.0,51.0,
23,shot,a489dbb0-1a59-4138-90ff-0d4cf640666d,2308,2,00:15:57.027,60,57,155,Belgium,Regular Play,,Belgium,Yannick Ferreira Carrasco,Left Midfield,1.213,,0.041763276,e2784861-4582-4efc-a3c5-10c566d99204,Right Foot,Open Play,Off T,Normal,,,,,,,102.0,29.0,120.0,45.0,2.1
24,shot,2dac8e6b-9a0c-48c5-bb81-9f1795e52458,2396,2,00:18:45.827,63,45,161,Belgium,Regular Play,,Belgium,Eden Hazard,Left Center Forward,1.293,,0.037141927,92f49423-0e26-4c68-9097-688b1bc098da,Right Foot,Open Play,Off T,Normal,,,,,,,97.0,30.0,120.0,44.6,5.6
25,shot,b18b2eeb-b92f-4d10-9989-3e7f34d4e2a6,2480,2,00:20:11.547,65,11,164,Tunisia,From Corner,,Tunisia,Wahbi Khazri,Center Forward,0.88,,0.036777098,95a28e0c-1e19-4f5e-b40d-e88be8dee295,Right Foot,Open Play,Blocked,Normal,,,,,,,101.0,16.0,112.0,34.0,
26,shot,cb267e74-aaa1-4537-8ffc-324f32f0e286,2494,2,00:20:21.147,65,21,164,Tunisia,From Corner,,Tunisia,Naïm Sliti,Right Center Midfield,0.333,,0.08310661,5c1f1442-824a-4142-b0d4-f7d4c26e54cb,Right Foot,Open Play,Blocked,Normal,,,,,,,101.0,45.0,106.0,45.0,
27,shot,efd04fc7-617c-45c8-b607-84d39b47bb35,2543,2,00:21:04.787,66,4,165,Tunisia,Regular Play,,Tunisia,Anice Badri,Left Wing,0.653,,0.1010899,a53f6235-bb52-421c-ac31-28f3b64ae5a0,Left Foot,Open Play,Saved,Normal,,,,,,,100.0,30.0,115.0,40.1,0.5
28,shot,3da81256-94b1-4567-97de-1c1b4e60213e,2617,2,00:24:23.227,69,23,173,Tunisia,From Free Kick,,Tunisia,Saîf-Eddine Khaoui,Left Center Midfield,1.293,,0.013837011,,Left Foot,Open Play,Wayward,Volley,True,,,,,,93.0,41.0,120.0,35.0,
29,shot,d9d335e9-d538-4823-9fb2-293c9e08cb2f,2886,2,00:30:22.187,75,22,185,Belgium,Regular Play,,Belgium,Michy Batshuayi Tunga,Left Center Forward,0.88,,0.7316597,bb0441d5-8ffb-4eb9-b800-b3e05e539918,Left Foot,Open Play,Blocked,Normal,,,,,True,,114.0,29.0,119.0,41.0,
30,shot,7fa17e62-c106-46f9-964b-d208734b5ad7,3016,2,00:33:58.680,78,58,192,Belgium,From Free Kick,,Belgium,Yannick Ferreira Carrasco,Left Midfield,0.64,,0.028426154,e043559a-11b7-4113-b32d-d45ed81e8515,Right Foot,Open Play,Saved,Normal,,,,,,,104.0,23.0,120.0,40.1,0.4
31,shot,77eb8420-7c01-45d1-8030-5dc2eb83c8a9,3019,2,00:34:00.307,79,0,192,Belgium,From Free Kick,,Belgium,Michy Batshuayi Tunga,Left Center Forward,0.573,,0.63307166,,Left Foot,Open Play,Post,Normal,True,,,,,,114.0,39.0,120.0,36.8,2.7
32,shot,8e591d95-85e0-4121-8b31-c7bfc21a1ea0,3024,2,00:34:06.587,79,6,192,Belgium,From Free Kick,,Belgium,Thomas Meunier,Right Midfield,0.853,,0.02469672,,Right Foot,Open Play,Off T,Normal,,,,,,,108.0,58.0,120.0,40.7,3.5
33,shot,5002ad89-3622-4730-a8a7-c0c0a07cd4fc,3096,2,00:35:31.147,80,31,196,Belgium,Regular Play,,Belgium,Michy Batshuayi Tunga,Left Center Forward,0.28,,0.3214559,b209473d-9fef-4e54-8dca-0a8803582dcd,Left Foot,Open Play,Saved,Volley,True,,,,,,113.0,39.0,119.0,39.9,1.4
34,shot,09aca295-eea9-4324-8031-b1751e905566,3101,2,00:35:35.440,80,35,196,Belgium,Regular Play,,Belgium,Michy Batshuayi Tunga,Left Center Forward,0.107,,0.087478675,,Left Foot,Open Play,Blocked,Normal,,,,,,,113.0,54.0,115.0,51.0,
