duration,pass_aerial_won,pass_angle,pass_body_part_name,pass_cross,pass_cut_back,pass_deflected,pass_height_name,pass_length,pass_switch,pass_through_ball,play_pattern_name,shot_aerial_won,shot_body_part_name,shot_first_time,shot_one_on_one,shot_open_goal,shot_technique_name,under_pressure,goal,distance,angle,build_up_duration,direct_free_kick,shot_cone,num_players_in_shot_cone,distance_to_nearest_opponent,pass_angle_na,pass_length_na,distance_to_nearest_opponent_na
0.773,0,0.0,,0,0,0,,0.0,0,0,From Free Kick,0,other,0,0,0,Normal,0,0,31.0,0.0,43.827,1,124.0,1,6.324555320336759,True,True,False
2.413,0,0.0,,0,0,0,,0.0,0,0,From Corner,0,other,0,0,0,Half Volley,0,0,27.018512172212592,0.037020115873930025,4.145999999999999,0,108.0,1,4.123105625617661,True,True,False
0.48,0,0.0,,0,0,0,,0.0,0,0,From Free Kick,0,other,1,0,0,Half Volley,0,0,18.35755975068582,0.5123894603107377,11.440000000000001,1,64.0,1,5.385164807134504,True,True,False
1.4,0,0.0,,0,0,0,,0.0,0,0,From Free Kick,0,other,0,0,0,Normal,0,0,32.01562118716424,0.031239833430268277,10.68,1,128.0,1,7.280109889280518,True,True,False
0.973,0,0.0,,0,0,0,,0.0,0,0,Regular Play,0,other,0,0,0,Normal,0,0,24.596747752497688,0.4636476090008061,6.121000000000001,0,88.0,0,6.0,True,True,False
0.64,0,0.0,,0,0,0,,0.0,0,0,From Throw In,0,other,0,0,0,Normal,0,0,37.21558813185679,0.5358112379604637,19.6,0,128.0,1,9.433981132056603,True,True,False
0.84,0,0.0,,0,0,0,,0.0,0,0,Regular Play,0,other,1,0,0,Normal,0,0,27.65863337187866,0.7086262721276703,0.493,0,84.0,0,8.246211251235321,True,True,False
0.987,0,0.0,,0,0,0,,0.0,0,0,From Corner,0,other,0,0,0,Volley,0,0,16.0,0.0,17.813000000000002,0,64.0,0,9.055385138137417,True,True,False
0.973,0,0.0,,0,0,0,,0.0,0,0,Regular Play,0,other,0,0,0,Normal,0,0,22.090722034374522,0.09065988720074511,22.547000000000004,0,88.0,0,11.180339887498949,True,True,False
0.413,0,0.0,,0,0,0,,0.0,0,0,From Free Kick,0,other,1,0,0,Normal,0,1,7.280109889280518,0.27829965900511133,23.267000000000003,1,28.0,0,2.23606797749979,True,True,False
